Week,ACR/Instrument Technician,Electrician,Mechanic,ET/CAO,Crane Mechanic,Turbine Mechanic,Auger Bilfinger Maintenance Crew
0,189,252,378,126,63,63,420
1,189,252,378,126,63,63,420
2,189,252,378,126,63,63,420
3,189,252,378,126,63,63,420
4,189,252,378,126,63,63,420
5,189,252,378,126,63,63,420
6,189,252,378,126,63,63,420
7,189,252,378,126,63,63,420
8,189,252,378,126,63,63,420
9,189,252,378,126,63,63,420
10,189,252,378,126,63,63,420
11,189,252,378,126,63,63,420
12,189,252,378,126,63,63,420
13,189,252,378,126,63,63,420
14,189,252,378,126,63,63,420
15,189,252,378,126,63,63,420
16,189,252,378,126,63,63,420
17,189,252,378,126,63,63,420
18,189,252,378,126,63,63,420
19,189,252,378,126,63,63,420
20,189,252,378,126,63,63,420
21,189,252,378,126,63,63,420
22,189,252,378,126,63,63,420
23,189,252,378,126,63,63,420
24,189,252,378,126,63,63,420
25,189,252,378,126,63,63,420
26,189,252,378,126,63,63,420
27,189,252,378,126,63,63,420
28,189,252,378,126,63,63,420
29,189,252,378,126,63,63,420
30,189,252,378,126,63,63,420
31,189,252,378,126,63,63,420
32,189,252,378,126,63,63,420
33,189,252,378,126,63,63,420
34,189,252,378,126,63,63,420
35,189,252,378,126,63,63,420
36,189,252,378,126,63,63,420
37,189,252,378,126,63,63,420
38,189,252,378,126,63,63,420
39,189,252,378,126,63,63,420
40,189,252,378,126,63,63,420
41,189,252,378,126,63,63,420
42,189,252,378,126,63,63,420
43,189,252,378,126,63,63,420
44,189,252,378,126,63,63,420
45,189,252,378,126,63,63,420
46,189,252,378,126,63,63,420
47,189,252,378,126,63,63,420
48,189,252,378,126,63,63,420
49,189,252,378,126,63,63,420
50,189,252,378,126,63,63,420
51,189,252,378,126,63,63,420
52,189,252,378,126,63,63,420
