Code,Order Progression Description,Max QA Week,Hand Off Point,Compliance,Health,Action Party,E1,E2,E3,E4,E5,E6,E7,E8
CCFFFA,"CM, No REL, No EXEC, No WP or WPOK, No ZPMM or ZPVS",12,PS-1,Compliant,T11 QA Check: FAIL,WPT,,,,,,,,
CCFFZA,"CM, No REL, No EXEC, No WP or WPOK, ZPMM or ZPVS",#N/A,#N/A,Status Error,#N/A,#N/A,CM, No REL,No EXEC, No WP ,or WPOK,.ZPMM,.or ZPVS, 
CCFOFA,"CM, No REL, No EXEC, WPOK, No ZPMM or ZPVS ",#N/A,#N/A,Status Error,#N/A,#N/A,CM,.No REL,No EXEC,.WPOK, No ZPMM,or ZPVS, , 
CCFWFA,"CM, No REL, No EXEC, WP, No ZPMM or ZPVS",9,PS-2,Compliant,T8 QA Check: FAIL,Planner,,,,,,,,
CCFWZA,"CM, No REL, No EXEC, WP, ZPMM or ZPVS",7,PS-3,Compliant,T6 QA Check: FAIL,Planner,,,,,,,,
CREFFA,"CM, REL, EXEC, No WP or WPOK, No ZPMM or ZPVS",0,EXEC,Compliant,On Schedule,Scheduler,,,,,,,,
CREFZA,"CM, REL, EXEC, No WP or WPOK, ZPMM or ZPVS",#N/A,#N/A,Status Error,#N/A,#N/A,CM, REL,No EXEC,No WP,or WPOK, No ZPMM,or ZPVS, 
CREOFA,"CM, REL, EXEC, WPOK, No ZPMM or ZPVS",0,EXEC,Compliant,On Schedule,Scheduler,,,,,,,,
CREWFA,"CM, REL, EXEC, WP, No ZPMM or ZPVS",#N/A,#N/A,Status Error,#N/A,#N/A,CM, REL, EXEC, .WP, No ZPMM,or ZPVS, , 
CREWZA,"CM, REL, EXEC, WP, No ZPMM or ZPVS",#N/A,#N/A,Status Error,#N/A,#N/A,CM, REL, EXEC, .WP, No ZPMM,or ZPVS, , 
CRFFFA,"CM, REL, No EXEC, No WP or WPOK, No ZPMM or ZPVS",12,PS-1,Compliant,T11 QA Check: FAIL,WPT,,,,,,,,
CRFFZA,"CM, REL, No EXEC, No WP or WPOK, ZPMM or ZPVS",#N/A,#N/A,Status Error,#N/A,#N/A,CM, REL,No EXEC,No WP,or WPOK,.ZPMM,.or ZPVS, 
CRFOFA,"CM, REL, No EXEC, WPOK, No ZPMM or ZPVS  ",3,PS-5,Compliant,T2 QA Check: FAIL,Planner,,,,,,,,
CRFOZA,"CM, REL, No EXEC, WPOK, ZPMM or ZPVS",3,PS-4,Compliant,T2 QA Check: FAIL,WPT,,,,,,,,
CRFWFA,"CM, REL, No EXEC, WP, No ZPMM or ZPVS",9,PS-2,Compliant,T8 QA Check: FAIL,Planner,,,,,,,,
CRFWZA,"CM, REL, No EXEC, WP, ZPMM or ZPVS",7,PS-3,Compliant,T6 QA Check: FAIL,Planner,,,,,,,,
PCFFFA,"PM, No REL, No EXEC, No WP or WPOK, No ZPMM or ZPVS",12,PS-1,Compliant,T11 QA Check: FAIL,Planner,,,,,,,,
PCFWFA,"PM, No REL, No EXEC, WP, No ZPMM or ZPVS",9,PS-2,Compliant,T8 QA Check: FAIL,Planner,,,,,,,,
PCFWZA,"PM, REL, No EXEC, WP, ZPMM or ZPVS",7,PS-3,Compliant,T6 QA Check: FAIL,Planner,,,,,,,,
PREFFA,"PM, REL, EXEC, No WP or WPOK, No ZPMM or ZPVS",1,EXEC,Compliant,On Schedule,Scheduler,,,,,,,,
PREOFA,"PM, REL, EXEC, WPOK, No ZPMM or ZPVS",1,EXEC,Compliant,On Schedule,Scheduler,,,,,,,,
PREWFA,"PM, REL, EXEC, WP, No ZPMM or ZPVS",#N/A,#N/A,Status Error,#N/A,#N/A,PM, REL,EXEC, .WP,No ZPMM,or ZPVS, , 
PREWZA,"PM, REL, EXEC, WP, ZPMM or ZPVS",#N/A,#N/A,Status Error,#N/A,#N/A,PM, REL,EXEC, .WP, ZPMM,or ZPVS, , 
PRFFFA,"PM, REL, No EXEC, No WP or WPOK, No ZPMM or ZPVS",12,PS-1,Compliant,T11 QA Check: FAIL,Planner,,,,,,,,
PRFFZA,"PM, REL, No EXEC, No WP or WPOK, ZPMM or ZPVS",#N/A,#N/A,Status Error,#N/A,#N/A,PM, REL,No EXEC,No WP,or WPOK,.ZPMM,.or ZPVS, 
PRFOFA,"PM, REL, No EXEC, WPOK, No ZPMM or ZPVS  ",3,PS-5,Compliant,T2 QA Check: FAIL,Planner,,,,,,,,
PRFOZA,"PM, REL, No EXEC, WPOK, ZPMM or ZPVS",3,PS-4,Compliant,T2 QA Check: FAIL,WPT,,,,,,,,      
PRFWFA,"PM, REL, No EXEC, WP, No ZPMM or ZPVS",9,PS-2,Compliant,T8 QA Check: FAIL,Planner,,,,,,,,
PRFWZA,"PM, REL, No EXEC, WP, ZPMM or ZPVS",7,PS-3,Compliant,T6 QA Check: FAIL,Planner,,,,,,,,
CCFFFZ,"CM, No REL, No EXEC, No WP or WPOK, No ZPMM or ZPVS, SFIX",12,PS-1,Compliant,T11 QA Check: FAIL,WPT,,,,, , ,,
CCFFZZ,"CM, No REL, No EXEC, No WP or WPOK, ZPMM or ZPVS, SFIX",#N/A,#N/A,Status Error,#N/A,#N/A, , , , , , ,Simple Fix, 
CCFOFZ,"CM, No REL, No EXEC, WPOK, No ZPMM or ZPVS, SFIX",#N/A,#N/A,Status Error,#N/A,#N/A, , , , , , ,Simple Fix, 
