Week,ACR/Instrument Technician,Electrician,ET/CAO,Mechanic,Crane Mechanic,Auger Solar Mechanic,Auger Bilfinger Maintenance Crew
0,126,189,126,252,63,63,378
1,126,189,126,252,63,63,378
2,126,189,126,252,63,63,378
3,126,189,126,252,63,63,378
4,126,189,126,252,63,63,378
5,126,189,126,252,63,63,378
6,126,189,126,252,63,63,378
7,126,189,126,252,63,63,378
8,126,189,126,252,63,63,378
9,126,189,126,252,63,63,378
10,126,189,126,252,63,63,378
11,126,189,126,252,63,63,378
12,126,189,126,252,63,63,378
13,126,189,126,252,63,63,378
14,126,189,126,252,63,63,378
15,126,189,126,252,63,63,378
16,126,189,126,252,63,63,378
17,126,189,126,252,63,63,378
18,126,189,126,252,63,63,378
19,126,189,126,252,63,63,378
20,126,189,126,252,63,63,378
21,126,189,126,252,63,63,378
22,126,189,126,252,63,63,378
23,126,189,126,252,63,63,378
24,126,189,126,252,63,63,378
25,126,189,126,252,63,63,378
26,126,189,126,252,63,63,378
27,126,189,126,252,63,63,378
28,126,189,126,252,63,63,378
29,126,189,126,252,63,63,378
30,126,189,126,252,63,63,378
31,126,189,126,252,63,63,378
32,126,189,126,252,63,63,378
33,126,189,126,252,63,63,378
34,126,189,126,252,63,63,378
35,126,189,126,252,63,63,378
36,126,189,126,252,63,63,378
37,126,189,126,252,63,63,378
38,126,189,126,252,63,63,378
39,126,189,126,252,63,63,378
40,126,189,126,252,63,63,378
41,126,189,126,252,63,63,378
42,126,189,126,252,63,63,378
43,126,189,126,252,63,63,378
44,126,189,126,252,63,63,378
45,126,189,126,252,63,63,378
46,126,189,126,252,63,63,378
47,126,189,126,252,63,63,378
48,126,189,126,252,63,63,378
49,126,189,126,252,63,63,378
50,126,189,126,252,63,63,378
51,126,189,126,252,63,63,378
52,126,189,126,252,63,63,378
